ro,en
persecutii,persecution
persecuții,persecution
persecutiilor,persecution
persecuțiilor,persecution
persevera,persevere
persoana,person
persoană,person
persoane,people
personalitatea,personality
place,like
placut,pleasant
plăcut,pleasant
plăcută,pleasant
plăcuți,please
plină,full
pofida,DESPITE
porunca,command
posibil,possible
Poți,You can
practice,practical
predica,preach
predică,preach
predicam,preaching
predicare,preaching
predicarea,preaching
predicată,preached
pregati,prepare
pregăti,prepare
pregatit,prepared
pregătit,prepared
pretuieste,Cherish
prețuiește,cherish
prețuim,cherish
prevazator,cautious
prevăzător,cautious
prezent,present
prieten,friend
prieteni,friendship
prietenia,friendship
prietenii,friends
prietenul,friend
prima,received
primii,the first
primul,first
principii,pRINCIPLES
principiile,pRINCIPLES
priveste,looks at
privire,look
problema,problem
probleme,problems
problemele,the problems
progrese,progress
promisiunile,promises
promite,promise
punct,point
punctul,point
puterea,power
ramai,remain
rămâi,stay
rămână,stay
ramane,remain
rămâne,remain
raspunde,respond
răspunde,respond
raspunsuri,answers
răspunsuri,answers
realiza,realize
recunostinta,gratitude
recunoștință,gratitude
referitoare,RELATED
Regatul,United
regele,the king
relatiile,dealings
relațiile,RELATIONS
religia,religion
religie,religion
religii,RELIGION
religiile,religions
reprezinta,represents
reprezintă,represents
respecta,respect
respectă,respect
respectam,We respect
respectăm,RESPECT
reusit,successful
reușit,successful
rezumat,summary
rolul,role
rugaciune,prayer
rugăciune,prayer
rugaciunea,prayer
rugăciunea,prayer
rugaciunile,the prayers
rugăciunile,prayers
rugam,Please
rugăm,Please
sa-si,Let them
să-și,Let him
sa-ti,Let me
să-ți,TO YOUR
sanatatea,health
sănătatea,health
sange,blood
sânge,blood
sangele,blood
sangelui,blood
saptamani,wEEKLY
săptămâni,wEEKLY
sapte,seven
șapte,seven
sarbatori,holidays
sărbători,celebrate
sărbătorile,Holidays
schimba,change
schimbă,change
schimbari,change
schimbări,change
schimbat,change
sclavul,slave
sclavului,slave
scopul,purpose
scris,written
secolul,CENTURY
sectiunea,section
secțiunea,section
septembrie,September
sexuala,sexually
sfaturi,tips
si-au,Have
siguranta,safety
siguranță,safety
simte,feels
simti,feel
simți,feel
simtit,sense
singur,single
situatia,the situation
situația,the situation
situatii,situations
situații,situations
slujeasca,serve
slujească,serve
sluji,serve
slujitorii,servants
sotia,wife
soția,wife
sotul,husband
soțul,husband
speranta,hope
speranța,hope
speranță,hope
spiritismul,spiritism
spiritul,the spirit
spune,say
stiai,Did you know
știai,Did you know
stiind,knowing
știind,knowing
stiinta,science
straduim,strive
străduim,strive
stransa,close
strânsă,CLOSELY
studia,study
studiere,learning
studiezi,you study
studiu,study
studiul,the study
sufera,suffer
suferă,suffers
suferim,suffer
suferinta,suffering
suferința,suffering
suferință,suffering
sugestii,Related
surorile,sisters
sustine,support
susține,support
tanar,young
tânăr,young
tarziu,late
târziu,late
tatăl,father
te-ar,You would
ti-ai,Have you
timpul,time
toata,all
toată,all
totdeauna,always
totii,all
totusi,however
traducerea,translation
trebuie,must
treziți,Wake
treziți-vă,wake up
turnul,the tower
tuturor,to everyone
umana,human
unele,some
uneori,sometimes
urmatoarele,the following
următoarele,the following
vazut,seen
văzut,seen
vedea,see
vedere,view
veghe,watch
verset,verse
versete,verses
versetele,verses
vestii,the news
veștii,news
viata,life
viața,life
viață,life
vietii,life
vieții,LEARNING
viitor,future
vizionati,Preview
vizionați,watching
vorbeasca,speak
vorbeste,speaks
vorbește,speaks
vorbesti,you speak
vorbești,you speak
vorbire,speaking
vreodata,ever
vreodată,ever
