ro,en,freq,confidence
timpul,time,33,1
adevarat,true,32,1
adevărat,true,32,1
botez,baptism,32,1
iubesc,I love,32,1
lucrarea,MINISTRY,32,1
schimba,change,32,1
ajutat,helped,31,1
ajutor,help,31,1
bucura,joy,31,1
congregatia,congregation,31,1
inima,heart,31,1
intruniri,meetings,31,1
întruniri,meetings,31,1
persoane,people,31,1
creat,creator,30,1
decat,than,30,1
decât,than,30,1
folosi,use,30,1
ilustratia,illustration,30,1
ilustrația,the illustration,30,1
pofida,DESPITE,30,1
constiinta,conscience,29,1
familiei,Family,29,1
lucrurile,things,29,1
merită,deserve,29,1
munca,work,29,1
prezent,present,29,1
studiezi,you study,29,1
suferinta,suffering,29,1
verset,verse,29,1
aceea,THEREFORE,28,1
barbat,man,28,1
bărbat,man,28,1
botezul,baptism,28,1
curați,clean,28,1
decizie,decision,28,1
gândește,thinks,28,1
loial,fair,28,1
morții,death,28,1
muncă,work,28,1
scopul,purpose,28,1
alege,choose,27,1
arată,show,27,1
fidel,faithfully,27,1
martorilor,witnesses,27,1
prieteni,friendship,27,1
speranță,hope,27,1
căsătorie,marriage,26,1
crestin,Christian,26,1
creștin,Christian,26,1
fericită,happy,26,1
gandeste-te,Think,26,1
gândește-te,Think,26,1
încredere,trust,26,1
înțelepciune,wisdom,26,1
neutralitatea,neutrality,26,1
păstrăm,we keep,26,1
predicare,preaching,26,1
raspunde,respond,26,1
răspunde,respond,26,1
sarbatori,holidays,26,1
sărbători,celebrate,26,1
totusi,however,26,1
versete,verses,26,1
indeamna,urges,25,1
Isus,Jesus,25,1
păcat,sin,25,1
practice,practical,25,1
credință,faith,24,1
dezvaluie,reveal,24,1
dezvăluie,Reveals,24,1
folosirea,use,24,1
importanta,importance,24,1
impreuna,together,24,1
împreună,together,24,1
închinarea,worship,24,1
merita,deserve,24,1
rugăciune,prayer,24,1
simte,feels,24,1
continua,continue,23,1
curati,clean,23,1
fratii,brothers,23,1
frații,brothers,23,1
iubeste,loves,23,1
iubește,loves,23,1
lectie,lesson,23,1
lecție,lesson,23,1
octombrie,October,23,1
pregatit,prepared,23,1
sustine,support,23,1
susține,support,23,1
ajutorul,the help,22,1
bucură,joy,22,1
descoperi,discover,22,1
divertismente,Entertainment,22,1
incearca,try,22,1
încearcă,try,22,1
inchinarea,worship,22,1
întâmplă,happen,22,1
întreabă,ask,22,1
învață,learn,22,1
moarte,death,22,1
niciodata,never,22,1
niciodată,never,22,1
tatăl,father,22,1
ajute,help,21,1
casatorie,marriage,21,1
citești,you read,21,1
conștiința,conscience,21,1
femeie,woman,21,1
ilustratiile,illustrations,21,1
ilustrațiile,illustrations,21,1
incredere,trust,21,1
intelepciune,wisdom,21,1
intr-o,IN A,21,1
într-o,One,21,1
învăța,learn,21,1
invatat,learned,21,1
învățat,learned,21,1
mesajul,the message,21,1
observa,notice,21,1
ochii,eyes,21,1
parintii,parents,21,1
părinții,parents,21,1
pastram,we keep,21,1
respectam,We respect,21,1
respectăm,RESPECT,21,1
schimbă,change,21,1
citește,read,20,1
credința,faith,20,1
cunosti,know,20,1
închinăm,WORSHIP,20,1
iulie,July,20,1
mangaiere,comfort,20,1
mângâiere,comfort,20,1
pacat,sin,20,1
rugam,Please,20,1
rugăm,Please,20,1
atenție,Careful,19,1
calitățile,qualities,19,1
citeste,read,19,1
conține,contain,19,1
dedici,commit,19,1
dovedi,prove,19,1
folosește,use,19,1
folosit,used,19,1
importantă,importance,19,1
intampla,happen,19,1
ramane,remain,19,1
rămâne,remain,19,1
raspunsuri,answers,19,1
răspunsuri,answers,19,1
rugaciune,prayer,19,1
spiritul,the spirit,19,1
vorbire,speaking,19,1
măsuri,are the measures,19,0.667
asteapta,Wait,18,1
așteaptă,Wait,18,1
botezi,baptize,18,1
cauta,search for,18,1
deveni,become,18,1
dezonorează,dishonor,18,1
guvernează,GOVERNING,18,1
intre,between,18,1
lumea,the world,18,1
medicale,physician,18,1
mesia,Messiah,18,1
noiembrie,November,18,1
numit,appointed,18,1
placut,pleasant,18,1
plăcut,pleasant,18,1
probleme,problems,18,1
realiza,realize,18,1
singur,single,18,1
studiul,the study,18,1
suferința,suffering,18,1
asadar,therefore,17,1
așadar,therefore,17,1
asculta,listen,17,1
boteza,baptize,17,1
bucuram,enjoy,17,1
continui,content,17,1
convingerile,BELIEFS,17,1
evitam,we avoid,17,1
intotdeauna,ever,17,1
întotdeauna,ever,17,1
invataturile,TEACHINGS,17,1
învățăturile,teachings,17,1
inveti,you learn,17,1
înveți,you learn,17,1
mereu,always,17,1
prietenia,friendship,17,1
rămâi,stay,17,1
sotul,husband,17,1
soțul,husband,17,1
te-ar,You would,17,1
viitor,future,17,1
aprilie,April,16,1
arătăm,show,16,1
batrani,old,16,1
bătrâni,old,16,1
bucurie,joy,16,1
calitati,qualities,16,1
calități,qualities,16,1
cinstiti,honest,16,1
cinstiți,Honor,16,1
citesti,you read,16,1
decizia,Decision,16,1
diferite,differently,16,1
februarie,February,16,1
fericita,happy,16,1
fericiti,happy,16,1
fericiți,happy,16,1
gresit,wrong,16,1
greșit,wrong,16,1
intr-un,IN A,16,1
într-un,IN A,16,1
materiale,materials,16,1
neutri,neutral,16,1
permite,allows,16,1
persecuțiilor,persecution,16,1
plăcută,pleasant,16,1
porunca,command,16,1
prevazator,cautious,16,1
prevăzător,cautious,16,1
recunostinta,gratitude,16,1
relațiile,RELATIONS,16,1
respecta,respect,16,1
sclavul,slave,16,1
sexuala,sexually,16,1
sfaturi,tips,16,1
situatia,the situation,16,1
situația,the situation,16,1
suferință,suffering,16,1
sugestii,Related,16,1
uneori,sometimes,16,1
aproba,approve,15,1
aprobă,approve,15,1
Bibliei,Bible,15,1
carte,book,15,1
cinstit,honest,15,1
curaj,Courage,15,1
discipolii,followers,15,1
drept,justice,15,1
familia,family,15,1
folosim,we use,15,1
importante,important,15,1
inchinam,worship,15,1
indiferent,indifferent,15,1
influenta,influence,15,1
îngeri,angels,15,1
ingerii,angels,15,1
îngerii,angels,15,1
interactiv,interactive,15,1
intreaba,ask,15,1
lectii,lessons,15,1
lecții,lessons,15,1
lectiile,the lessons,15,1
lecțiile,the lessons,15,1
martori,witnesses,15,1
morților,dead,15,1
Poți,You can,15,1
promite,promise,15,1
puterea,power,15,1
Regatul,United,15,1
schimbari,change,15,1
schimbări,change,15,1
urmatoarele,the following,15,1
următoarele,the following,15,1
vorbesti,you speak,15,1
vorbești,you speak,15,1
atentie,Careful,14,1
capitolul,Chapter,14,1
caută,search for,14,1
cauza,cause,14,1
contine,contain,14,1
continuă,continue,14,1
demonii,demons,14,1
efect,effect,14,1
evenimente,event,14,1
faptul,the fact,14,1
ianuarie,January,14,1
impotriva,against,14,1
împotriva,against,14,1
incepe,start,14,1
începe,start,14,1
intelegem,we understand,14,1
înțelegem,we understand,14,1
intreba,ask,14,1
întreba,ask,14,1
intrucat,because,14,1
întrucât,because,14,1
iubești,love,14,1
martie,March,14,1
murim,die,14,1
nimic,nothing,14,1
onoare,honor,14,1
originea,origin,14,1
place,like,14,1
plăcuți,please,14,1
principii,pRINCIPLES,14,1
recunoștință,gratitude,14,1
rugaciunea,prayer,14,1
rugăciunea,prayer,14,1
schimbat,change,14,1
sotia,wife,14,1
soția,wife,14,1
speranța,hope,14,1
tuturor,to everyone,14,1
acestia,these,13,1
acțiunile,'s actions,13,1
babilonul,BABYLON,13,1
binele,the good,13,1
consideră,CONSIDERS,13,1
eforturi,efforts,13,1
fizic,physical,13,1
gandurile,thoughts,13,1
gândurile,thoughts,13,1
grija,care,13,1
guverneaza,GOVERNING,13,1
implica,GET INVOLVED,13,1
implică,GET INVOLVED,13,1
inimă,heart,13,1
invatam,learn,13,1
invinge,defeat,13,1
învinge,defeat,13,1
membrii,members,13,1
natura,nature,13,1
oferit,PROVIDED,13,1
personalitatea,personality,13,1
prețuim,cherish,13,1
prima,received,13,1
problemele,the problems,13,1
progrese,progress,13,1
rolul,role,13,1
sangelui,blood,13,1
sapte,seven,13,1
șapte,seven,13,1
sărbătorile,Holidays,13,1
slujitorii,servants,13,1
stiai,Did you know,13,1
știai,Did you know,13,1
toata,all,13,1
toată,all,13,1
vreodata,ever,13,1
vreodată,ever,13,1
adevarata,true,12,1
armonie,harmony,12,1
asemanator,like,12,1
asemănător,like,12,1
cunoaște,know,12,1
cuvinte,wORDS,12,1
cuvintele,the words,12,1
dreptul,right,12,1
exemplul,Example,12,1
fiind,being,12,1
fractiuni,fractions,12,1
fracțiuni,fractions,12,1
frate,brother,12,1
fratilor,brothers,12,1
fraților,brother,12,1
hotărât,decided,12,1
hrana,food,12,1
imita,imitate,12,1
increderea,trust,12,1
