ro,en
aimportan,important
aincul-,including-
ainima,soul
ainimas,soul
ainsist,also
ainteresfa,interest
aiseal,yes
aIsus,Jesus
aIsuseste,Jesus
aiubi,love
aiubire,love
aiubirea,love
ajudec,help
Ajung,get
ajungem,GET
ajuta,help
ajutapeoameni,helppeople
ajutat,helped
ajutat-o,Helped
ajutor,help
alafel,likewise
alaiubirea,love
alalt,other
alasitua,choose
albro,white
alcool,alcohol
aleajut,help
alecunoa,some
alega-,choose-
alege,choose
alege-,choose-
Alegecu,Choose
aleora,now
alepri-,good-
alerespect,respect
alerespecte,respect
alevorbe,talk
aliii-leae,others
altele,Other
altfeldec,otherwise
altmoddevia,otherwise
altora,OTHERS
alucrare,work
alucrarea,work
alucruri,things
aluieBibliace,Bible
ambele,both
amcurate,clean
amdevia,both
amdou,both
amdup,both
amedical,medical
amerit,America
amexemplullui,for example
amilioanede,millions
aminim,amen
aminima,amen
amintesauo,remember
amniciodat,sometimes
amoar,love
amoar-,love-
amoare,love
amoriundeg,love
amporunca,command
amsfaturi,advice
amsfaturic,advice
AMUNSFAT,ADVICE
amunsfatbun,good advice
and-o,and a
andai,go
andIe-,and-
andimniciodat,never
andireaBibliei,Bible reading
andse,go
andsfatul,advice
aneaduc,bring
aneajute,help
anear,year
anecazul,drowning
anemen,also
aneneutri,neutral
aneutralitatea,neutrality
aniciodat,never
aniise,years
anilorp,years
anipecineva,someone
anivorfolosi,birthdays
anjeni,angels
antult,all
anuauprimit,received
anucomit,some
anumaig,some
anumele,namely
anumeles,some
anumit,certain
anumites,certain
anumitlucru,something
anxietate,anxiety
aoajute,help
aoame-,people-
aoamenii,people
aoameniinevinova,innocent people
aoameniise,people
aoamenir,people
aoanumit,certain
aofere,offer
aomanife,man
aomenirii,people
aonor,honor
aoonoare,honor
aopersoa-,aperson-
aopersoan,a person
aopoarte,support
aorganizare,organization
aparen,appearance
apecareo,some
apecareocuno,someone
apeceva,something
apeDum-,water-
apemul,water
apentrudarulvie,forthegiftoflife
apentruoameni,forpeople
apentrutotdeauna,forever
aperfec,perfect
aperfect,imperfect
aPersoan,aPerson
apersoana,person
apersoanac,a person
apersoanede,a person
apeso,after
apeSo-,water-
aplic,apply
aplin,full
apoate,water
apoidiscuta,then discuss
aporuncalui,command
apots,water
aprieteniacuIehovai-a,friendshipwithJehovah
aprietenii,friends
aprieteniilerele,friends
aprieteniis,friends
aprimeas-,first-
aprobleme,problems
apromisiune,promise
apropiat,near
apunem,set
apute,can
aputernic,powerful
ararecomun,common
aratc,show
aratce,show
aratcre,show
arateori,sometimes
aratestes,show
aratnecesare,necessary
aratp,show
arecunoa,someone
aregre,happy
areialte,other
areligiafals,falsereligion
arepre-,are-
arespect,respect
arespectfa,respect
ariceva,something
arimprieteniacuIehova,friendshipwithJehovah
Armaghedonului,Armageddon
arurinoi,gold
asatan,devil
asatdeIsuspentru,so much
asautejigne,assault
aschimbare,change
aschimbe,change
ascopullui,purpose
aseas-,also-
asemenea,also
asemenealui,such
asepararea,separation
asepoate,then
asesepare,separation
asfaturi,advice
asfaturilepractice,practical advice
asfaturipractice,practical advice
asibucurie,joy
asiguran,Make
aspectuluiexterior,appearance
aspui,you say
aspuns,answer
aspunsuri,answers
aspunsurila,answers
astai,it
astea,these
asteade-,this-
astreze,stars
astudia,study
astudiabiblia,biblestudy
astudiezeBiblia,study the Bible
asuport,support
atadac,so
ataiubire,love
atare,such
atarea,such
atateata,so much
ateajute,help
ateajutes,help
atecu-,appropriate
atedoi,so much
atesepare,separation
ateva,SOME
atguvern,government
atimp,time
atimpul,time
atitde,so much
atitudineaeifa,attitude
atmaimult,more
atmaimultoroameni,many people
atnou,new
atoa-,all-
atoarea,all
atoareeste,it is
atoarei,all
atoase,all
atoat,all
atoater,all
atorbun,good
atorneajut,help
atorse,all
atotce-,everything-
atsuferin,suffer
atuim,we are
atunciam,then
atunciar,then
atuncic,then
atuncise,then
audeatr,hear
audia,hear
aului,gold
auneorichiarne,sometimes
auneoritevei,sometimes
aunit,united
aunou,new
aurilor,gold
autrecut,other
auzeoar-,hear-
aveau,They
aveiputeag,you can
aviitorul,the future
avoias,yes
avoie,yes
avor-,abortion
Avraam,ABRAHAM
Avraamla,Abraham
Avraams,Abraham
avreun,someone
azdare,hope
azutniciodat,never
Babilonul,BABYLON
Babilonului,Babylon
barnaba,BARNABAS
baruc,Baruch
Bibel-,Bible-
bibliaa,bible
Bibliac,Bible
bibliacon,bible
Bibliadisponibil,Bibleavailable
Bibliaeste,The Bible is
bibliaesteva-,the bible is-
Biblianed,Bible
Bibliao,Bible
Bibliaspunec,The Bible says
Bibliatepoateajutas,The Bible can help
biblice,Bible
Biblie,Bible
Bibliei,Bible
blemelor,problems
bogat,rich
boteza,baptize
botezi,baptize
botezul,baptism
botezului,baptism
BUCUR,joy
bucurapentrutotdeaunadevia,enjoy life forever
Bucure,enjoy
bucuria,joy
bucurie,joy
capitolul,Chapter
caree,which
carelo-,who-
careoc,who
carese,which
caretr,which
carevor,anyone
CeaprezisBiblia,The Bible
ceaveas,something
cecadou,gift
ceeace,what
ceesteor,something
cefapte,seven
ceicare,each
ceicarese,whoever
ceicaresec,whoever
Ceice,those
ceidincongrega,thecongregation
ceilal,others
celcare,each
Celucruri,Things
cemotiva,chemical
Cenesim,We are
Cenevaajutas,Help
Ceprejudec,Prejudice
cereiehova,jehovah
cersfaturi,tips
Ces-a,Stop
cesitua,question
CespuneBiblia,The Bible says
cevagre,something
Cevei,Something
cineva,someone
Cinstea,HONOR
cinsti,honor
citindBiblia,reading the Bible
citirea,reading
CitireaBibliei,Bible Reading
citit,read
citite,read
ciulmilitar,military
codul,code
coloseni,Col.
columbia,Colombia
compasiune,compassion
complet,complete
completr,complete
completuitat,complete
Comunicarea,communication
concentra,focus
CONCENTREAZ,Focus
congrega,congregation
constatatc,found
contc,contact
conti-,continue
Continu,continue
continua,continue
convingerile,BELIEFS
copil,child
corpulde,body
cristos,CHRIST
cristosul,Christ
cronologia,chronology
cuDumnezeu,withGod
cuhrana,food
cuIehova,withJehovah
CULTIV,worship
Cumneputem,How can we
Cums-adesf,How-to
CumtepoateajutaBiblias,How can the Bible help?
cunoa,KNOW
cunosc,KNOW
Cuoanumit,Someone
Cuprins,content
cuprivirelaalcool,regardingalcohol
curat,clean
curegularitate,regularly
curespect,respectfully
cusigu-,sure-
cutoateaces-,this-
cuvintec,word
darcel,but
dareste,give
darne,generous
darpun,give
dars-a,but
deaar,yes
deace-,therefore-
deaceea,therefore
deadev,indeed
dealcool,alcohol
deamn,devil
dease-,often-
deasemenea,also
deazi,today
debun,good
decee,dies
deceeste,dies
deceesteea,death
deceesteesen,death
deceprieteniino,friends
decepurt,beginning
Deces,Death
Deces-a,Death
decizies,decision
decizii,decisions
deciziicare,decisions
deexem-,for example-
deexemplu,for example
deexempluajut,help
deexemplustr,for example
dehot,finally
delaalcool,fromalcohol
delaDumnezeu,fromGod
delamanuscriseleoriginale,fromtheoriginalmanuscripts
demonilor,demons
deoameni,people
deoare-,because-
deoarece,because
deoareceto,because
depresie,depression
descurajare,discouragement
deseori,often
deseorined,often
despreIehova,aboutJehovah
despretatuaje,abouttattoos
DESTUDIU,STUDY
Deuteronomul,Deuteronomy
DEZARMARE,DISARMAMENT
dezile,days
dezordini,disorders
Diavolul,devil
diferite,differently
dinbiblia,from the bible
Dincarteabiblic,From the Bible
dininim,heart
dinnou,again
dinnoualt,again
dinsecoluli,centuries
discuta,discuss
discute,discuss
Disponibil,Available
distruse,destroyed
divertismentes,entertainment
domnului,LORD
dreptr,right
dreptse,right
drume,way
du-se,go to
duims,we are
dumne-,you-
Dumnezeu,God
Dumnezeuaremultetitluri,Godhasmanytitles
Dumnezeuc,God
dumnezeult,god
dumnezeunu,god
dumnezeur,god
eamen,man
eare-,is-
Eclesiastul,Ecclesiastes
efeseni,Ephesians
eimportants,important
Eipredic,Preach
elatre-,to-
elchiar,right
eledispuss,available
eleste,it is
enumerate,listed
eopierderedetimps,waste of time
esteDumnezeu,isGod
esteim-,it is-
EsteIsusCristosDumnezeu,IsJesusChristGod
EsteIsusDumnezeu,IsJesusGod?
etiopia,Ethiopia
Etiopianul,Ethiopian
Evrei,Hebrew
Examineaz,Examine
exemplu,example
Explic,explain
explica,explain
familia,family
familie,family
familiei,Family
familii,families
familii-,families-
felul,kind
feluri,WAYS
femeies,woman
femeile,women
fericit,happy
fericite,HAPPY
Fiecare,Each
fiecares,everyone
fiedistrus,destroyed
fiiiluidumnezeu,sonsofgod
filialadin,branch
fiullui,son
Fiuls,Sons
foametei,hunger
folos,use
folosi-,use-
folosireas,use
formap,form
frumoase,beautiful
frumoaseal,beautiful
genero,generous
grafice,CHARTS
guvernele,GOVERNMENTS
hemodializa,hemodialysis
i-aajutats,helped
IADECIZII,DECISIONS
iaduce,bring
iajut,help
iaodecizie,decision
iarapoi,and then
iarapoite,again
iaroameniitr,andpeople
ibucur,happy
ieho-,yes-
Iehova,Jehovah
Iehovaa,Jehovah
iehovaar,Jehovah
Iehovac,Jehovah
IehovaDumnezeu,JehovahGod
IehovaDumnezeum,JehovahGod
IehovaDumnezeutevaajuta,JehovahGodwillhelp
iehovae,Jehovah
Iehovaleiube,Jehovahloves
Iehovalu,Jehovah
Iehovanu,Jehovah
iehovapre,Jehovah
Iehovas,Jehovah
Iehovase,Jehovah
Iehovava,Jehovah
ieideciziibune,gooddecisions
Ieremia,JEREMIAH
iertareasa,forgiving
Ierusalim,Jerusalem
Ierusalimul,Jerusalem
iestepl,step
iipre,yes
iipromi,promise
iiube,love
ilputem,we can
ilustra,illustrate
imaginea,image
imagini,images
imaginilor,IMAGE
imoralitatea,immorality
importante,important
Importantes,Important
impozitelor,taxes
imprietene,friends
Inaceas-,Again-
Inacestvideoclipmuzical,Inthismusicvideo
Inadoua,Again
inbiblie,in the Bible
INCEPS,BEGINNING
inchinarea-nfamilie,family-worship
Ingerii,Angels
inimachiar,enemy
inisraelulantic,ancientisrael
innumelecre,myname
Inprimulr,First
inproverbele,proverbs
Inseamn,means
instrui,train
interesa,interest
Intr-adev,Really
Intreab,Ask
intreba,ask
INTRODUCTIVE,INTRODUCTORY
Intruc,because
Intrunirile,Meetings
Intruniriles,Meetings
inume,name
Inziuanun,Today
iordan,Jordan
iplaceluiIehova,pleaseJehovah
Isaia,Isaiah
ispunea,said
istoria,history
Isusa,Jesus
Isusaar,Jesus
Isusaf,Jesus
isuscristosestere-,jesuschrist-
Isusi-a,Jesus
Isusl-a,Jesus
isusva,Jesus
iubeasc,love
iubire,love
Iubirea,love
iulie,July
izvorul,SOURCE
laalcool,alcohol
laduce,bring
lafelputem,we can
lafi-,to be-
lafinal,finally
laiubire,love
lamoarte,death
latraducerilemoderne,tomoderntranslations
lbucur,happy
legate,RELATED
leIehova,Jehovah
LIMBA,LANGUAGE
limpede,clear
lnume,Name
locuin,house
locuri,places
loialitateanoastr,ourloyalty
lordin,lord
lrespect,respect
lucru,WORK
lucrurile,things
luiIov,Job
luiIsus,Jesus
lumea,the world
lumii,THE WORLD
lumina,light
Luminastr,Light
lupta,fight
luptaeste,fight
maibun,better
maifi,mother
maimult,more
maipa,may
mamiferele,mammals
manier,way
marcheaz,mark
Marcu,MARK
martori,witnesses
Martorii,Witnesses
MATERIALUL,MATERIAL
mbuna,good
medit,meditate
Mediteaz,meditate
mente,ments
mentecarelupt,fight
mentele,ments
merge,go
Mesia,Messiah
Mi-am,I
miaminte,remember
mihael,Michael
Milioanede,Millions
minte,mind
miracole,miracles
miracolele,miracles
misem,we are
Mitteilung,Message
moare,DIES
moarte,death
moartea,death
moment,TIME
Mondial,World
mpie-,stop-
mpline,complete
mplinitc,full
mpliniurm,full
mpotrivimtenta,opposition
mpotrivitenta,opposition
mpreun,together
mprieteni,friends
multe,many
multetitluri,manytitles
nade-,hope-
Nazaret,Nazareth
nbine,well
nceledin,first
nceps,beginning
nceputcele,the beginning
nceputlasf,beginning
nceputs,beginning
nceputul,beginning
nceteaz,stop
ncheiat,ended
ncheieodat,finally
nchina,worship
nchinare,worship
nchinarea,worship
nchinareal,worship
nchinaredin,worship
ncitirea,reading
ncitireaBibliei,Bible reading
ncitireaei,reading it
ncompara,compare
ncompara-,compare-
ncondi,condition
ncontact,contact
ncurajeaz,encourages
ndeam-,now-
ndeamn,urge
ndeosebi,especially
ndeosebidin,especially
nderiv,next
ndoial,doubt
ndolia,grief
ndru-,way-
ndrum,guide
ndruma,guide
ndruma-,guide-
ndrumapeca-,guide-
ndrume,instructions
ndrumic,guide
ne-am,WE
ne-amc,we are
ne-auf,no-one
necesit,NEEDS
nedreptate,injustice
nedreptatea,injustice
neemia,NEHEMIAH
neloiali,disloyal
nerecunos-,ungrateful-
neutralitatea,neutrality
neutri,neutral
nevinova,innocent
nevoits,needs
nezeu,god
nfamilie,family
nfiecarean,everyone
nfiecares,each
nfire,finally
nfolo-,use-
nfrumuse,beautiful
ngerii,angels
ngroa-,big-
nialuiIsus,Jesus
nicijale,nothing
nicim,nothing
Nicioc,Nothing
niciodat,ever
nicis,nothing
nicistrig,nothing
niicas,nothing
nilor,tions
nimagine,image
nimic,nothing
nimicnu,nothing
ninima,nothing
nlocui,replace
nlocuiasc,replace
nlocuie,replace
nluca,work
nlume,world
nlumea,the world
nlupt,fight
nmair,next
nminte,name
nmoarte,death
nmoddeosebit,especially
nmodinten,change
nmoduri,ways
nmunc,work
noastr,OUR
noastre,our
noialc,new
noice,new
noito,new
norme,RULES
nostru,our
nostrur,our
npace,peace
nparadis,paradise
npentrua-,for-
npredica-,preach-
nprimulr,first
nprivin,about
nschimb,change
nseamn,means
nsecret,secret
ntocmitcas,t_
ntot-,all-
ntr-oalt,otherwise
ntr-olumear,worldwide
ntreba,wondered
ntrebare,question
ntrebareeste,question
ntrebatvreodat,asksomeone
ntrebi,wonder
ntreuniicre,together
ntru-,in-
ntrunire,meeting
ntruniri,meetings
ntruniri-,meetings-
ntruniriles,meetings
ntrunirilor,meetings
ntruniris,meeting
ntrunirisaus,meetings
ntrunirivei,meeting
nul-aibea,nothing
numai,only
numaic,only
nume-,name-
numeleei,name
numit,appointed
nunitate,wedding
nurenun,nothing
nusepoa-,no-
nusus,no
nuvormo,new
Nuvrems,Never
nvedere,view
nvene,find
nviaace,life
nviat,resurrected
nviatcafiin,resurrected
nviitor,future
nviitorul,the future
nvingeprejudec,overcomeprejudice
nvorbe,talk
nvorbire,conversation
nzestra,gift
nziua,dream
oajutas,help
oame-,people-
oameni,people
oamenii,people
oameniicadr,people
oamenilor,people
oamenis,people
oarechiar,indeed
octombrie,October
olocuin,home
omului,HUMAN
onoarep,honor
Opersoan,Person
opozi,opposition
oricena,anything
oriundeg,anywhere
pacealui,peace
pacitatea,peace
parte,part
partea,part
PARTEAI,part
partedin,part of
peadam,human
pecare,which
peDumnezeu,onGod
pentruadiscuta,to discuss
Pentruag,For the
pentrualuadeciziibune,to make good decisions
pentruavedea,to see
pentruavedeac,to see
pentruc,because
pentrucaace,why
pentrudivor,fordivorce
pentruiehova,forjehovah
PENTRUTOTDEAUNA,FOREVER
peoamenis,people
persecu,persecution
persoan,person
Persoana,Person
persoaneac,person
persoanec,person
Persoanelemen,People
persoanes,person
peTat,Father
piatr,STONE
picioarele,FEET
place,like
plinic,full
Poatete,Can
politic,political
popor,people
poporul,PEOPLE
pornografia,pornography
posibil,possible
potrivit,RIGHT
pottr,can
practic,practical
practice,practical
precum,AS
precumpacea,peace
Predic,preach
predica,preach
prieteniacuDumnezeu,friendshipwithGod
prieteniadulce,sweetfriendship
prietenii,friends
prieteniileonline,onlinefriendships
prieteniis,friendships
prietenullui,friend
prima,received
PRIMAPARTE,FIRST PART
primi,receive
primul,first
princur,through
privin,respect
probabile,likely
problema,problem
probleme,problems
Problemedes,Problems
problemei,PROBLEM
problemepecare,problems
promisiunile,promises
propriuls,own
Proverbele,Proverbs
provoc,CHALLENGES
Psalmul,Psalm
publicat,published
punctede,points
punem,WE
puteag,can
Putem,CAN
putemg,we can
Putempune,We can
putems,we can
Recapitulare,REVIEW
Regatuls,Kingdom
regatului,UNITED
regeledavidasuferit,kingdavidsuffered
religia,religion
respectfa,respect
respectulfa,respect
rezerv,book
rezultatula,result
REZUMAT,SUMMARY
rioase,rich
roage,PRAY
rolul,role
Romani,ROMANS
S-arputeas,You can
saceva,something
sacrificiu,sacrifice
sacum,now
sapte,seven
sasim,we are
satanaf,satan
satandiavolul,satanthedevil
schimb,change
schimbat,change
sclav,slave
sclavul,slave
sclavului,slave
scopuls,purpose
scriitoriinu,writers
scriitorul,the writer
Scriptura,Scripture
SCRIPTURILE,SCRIPTURES
seama,MIND
secretarul,SECRETARY
secrete,SECRET
sector,section
Separare,Separation
separatdereligiafals,separatefromfalsereligion
septembrie,September
serghei,SERGEY
serviciu,service
sescs,sex
sespune,answer
sextingul,sexting
sfatulunuib,advice
Sfaturi,tips
Sfaturila,Advice
sfaturile,ADVICE
sfaturilepe,tips
si-astabilitobiectivespirituale,setspiritualgoals
si-au,Have
si-audep,hear
siapoi,and then
siasigur,sure
siaspectexterior,appearance
siatot,all
siatunci,and then
siavemnevoiede,weneed
sibucuria,joy
sicompara,and compare
sicual,like
sideasavuraalimen-,food-
sidespre,about
sidreptate,andjustice
siima-,feel-
siinima,soul
siiube,love
siiubire,love
siiubirea,love
simi-a,feel
similar,LIKE
simte,feels
sindlucrareape,working
sineinsufl,self
sini-,self-
sinim,we are
sinumai,yourself
sinume,self
sinumeles,self
sinunea,self
sioricealt,other
sipre-,yes-
sipreg,please
sisfaturi,tips
sisfaturipractice,practical advice
sistem,system
sisunte,self
sisus,self
sitestr,website
siteva,website
siteveibo-,website-
sitimp,time
situlbur,trouble
situvei,situation
siundeterogi,andothers
slujeau,ministry
speran,hope
spiritismul,spiritism
SPUNE,SAY
spunem,SAY
ssuportas,support
stateleunite,unitedstates
stebiblia,the bible
stebucurie,joy
stecurespect,respect
steiubire,love
stere,stars
stesau,you are
steun,support
stiadev,you know
stiadinurm,science
stiaivreas,you know
stias,you know
sticuiva,someone
stidespre,about
stiedeei,you know
stien,stone
stiga,stop
stigalupta,fight
stiic,science
stiices,science
stiin,science
stiind,knowing
stiindc,knowing
stini-,know-
stiniaupre,you know
stinii,science
stiniinu,science
stioamenis,know
stisperan,hope
stitimpul,time
stiunmate-,science-
stiuts,you know
stresului,stress
studia,study
studierea,study
studiezibiblia,study the bible
subiecte,TOPICS
suedia,Sweden
sufer,suffer
suferim,suffer
suferin,suffering
suflet,soul
sufletul,SOUL
Sugestii,Related
sunte,YOU ARE
suntemm,we are
sursa,source
taatreidu,father
tadivertismentelor,entertainment
tadjikistan,Tajikistan
tafamiliei,family
tafrumoas,beautiful
tamea-,soil-
tameaafost,was
tamodern,modern
taneajut,help
tatade,father
tatanu,father
tatca,father
Te-ai,You
teajuta,help
teleag,train
telege-,understand-
telepciu-,wise-
telepciune,wisdom
telepciunea,wisdom
telepciunes,wise
telept,wise
telepte,wise
tempts,temptations
tepeal,tip
tereaeis,there
tevap,water
teveiputeabucura,you can enjoy
thailanda,Thailand
ti-aar,you-are
ti-ar,Would
tiabotezului,baptism
tiaduc,bring
tiaeste,you know
tialegiprieteni,friends
tials,times
tialvie,life
tiamondial,world-wide
tiani,Tian
tiaruncitoate,allthings
tiavea,you
ticaacas,home
ticei,Tice
tidebucurie,joy
tideoarece,because
tidereligiafals,falsereligion
tiebun,good
tiedac,you know
tieeste,you know
tieic,you know
tieputem,we can
tieste,you know
tiesupe-,you-
tiface,make
tififericit,happy
tiiaii-a,you know
tiiamvreas,you know
tiibi-,you know-
tiiceauleg,you know
tiicont,know
tiicre,three
tiicurat,clean
tiiintime,time
tiile,tions
tiilor,tions
tiilordecredin,thefaithful
tiilui,tions
tiiNa,you know
tiino,you know
tiiputernice,powerful
tiiso,yes
tiitevor,you will
tiiubire,love
tiiubirea,love
tiivaloroase,valuable
tiluadeciziibune,gooddecisions
tiluadeciziibunec,gooddecisions
timea,TIME
timmul,time
timpdemul,time
timps,time
timpul,time
timpuluisf,time
timpuri,TIMES
tineh,you are
tinem,keep
tinere,young people
tinereap,young people
tineri,young
tinerii,YOUNG
Tineriise,Youth
tini-,young-
tintimp,time
tinumi,keep
tiolume,world
tiona-,tion-
tional,national
tionale,tion
tionalit,national
tionat,tion
tionate,tion
tionatprietenii,friends
tionezi,you are
tipoate,printed
tiprieteni,friends
tiprieteniis,friends
tiprimit,printed
tis-ap,water
tis-au,you have
tisim-,we are-
tispuneel,answer
tistudiabiblia,biblestudy
titimpulcu,time
titniciodat,never
tiunecontrana,opposition
tiuneesteavortul,abortion
tiunexemplu,example
tiuniintr,t
tiunilorsangui-,blood-
tiunilorUnite,United States
tiurm,team
tivoraveahran,food
Toatep,All
toates,all
totcecon,all
totul,ALL
transfuziiledes,transfusions
transfuziilordes,transfusions
trecut,last
treilear,third
Trombocite,PLATELETS
trombocitele,platelets
truei,true
tui-ai,you have
tulbur,disorders
ucraina,Ukraine
umane,humanity
uneib,one
uneipersoane,a person
uneis,one
unele,some
unelena,some
unelepersoanes,some people
uneles,some
Uneori,Sometimes
Uniioameni,Some people
uniipeal,some people
uniisus,united
univers,universe
unlucru,something
unomm,one
unora,some
unoraleeste,sometimes
unsfat,advice
unuir,one
unuit,one
urmare,result
Urmeaz,Follow
vedec,see
vedere,view
veghe,watch
veiafla,you know
veicitidespre,about
versetele,verses
vesele,HAPPY
videosau,Video,
vievat,alive
viitoare,future
viitor,future
viitorul,the future
Viziona,watch
vorbe,WORDS
vorbeasc,speak
Vorfi,Talk
vortr,will
vreme,times
Vrems,Times
vreodat,ever
Wachtturm,Watchtower
zeuesteiubire,godislove
zicuzi,you know
zista,know
