ro,en
inimă,heart
intampla,happen
întâmplă,happen
intelegem,we understand
înțelegem,we understand
intelepciune,wisdom
interactiv,interactive
intotdeauna,ever
întotdeauna,ever
intreaba,ask
întreabă,ask
intreba,ask
întreba,ask
învață,learn
învăța,learn
invatam,learn
invatat,learned
învățat,learned
invataturile,teachings
învățăturile,teachings
inveti,you learn
înveți,you learn
invinge,defeat
iubeste,loves
iubește,loves
iubești,love
lectie,lesson
lecție,lesson
lectii,lessons
lecții,lessons
lectiile,the lessons
lecțiile,the lessons
lucrurile,things
lumea,the world
mangaiere,comfort
mângâiere,comfort
martori,witnesses
martorilor,witnesses
materiale,materials
medicale,physician
membrii,members
mereu,always
merita,deserve
merită,deserve
mesajul,the message
moarte,death
morții,death
morților,dead
munca,work
muncă,work
murim,die
natura,nature
neutralitatea,neutrality
neutri,neutral
niciodata,never
niciodată,never
nimic,nothing
numit,appointed
observa,notice
ochii,eyes
onoare,honor
originea,origin
pacat,sin
păcat,sin
parintii,parents
părinții,parents
pastram,we keep
păstrăm,we keep
permite,allows
persecuțiilor,persecution
place,like
placut,pleasant
plăcut,pleasant
plăcută,pleasant
plăcuți,please
porunca,command
practice,practical
pregatit,prepared
prevazator,cautious
prevăzător,cautious
prezent,present
prieteni,friendship
prietenia,friendship
probleme,problems
promite,promise
puterea,power
rămâi,stay
ramane,remain
rămâne,remain
raspunde,respond
răspunde,respond
raspunsuri,answers
răspunsuri,answers
realiza,realize
recunostinta,gratitude
respecta,respect
respectam,We respect
rugaciune,prayer
rugaciunea,prayer
rugăciunea,prayer
rugam,Please
rugăm,Please
sarbatori,holidays
sărbători,celebrate
schimbă,change
schimbari,change
schimbări,change
schimbat,change
sclavul,slave
scopul,purpose
sexuala,sexually
sfaturi,tips
simte,feels
singur,single
situatia,the situation
situația,the situation
sotia,wife
soția,wife
sotul,husband
soțul,husband
speranța,hope
spiritul,the spirit
studiezi,you study
studiul,the study
suferinta,suffering
suferința,suffering
suferință,suffering
sustine,support
susține,support
tatăl,father
totusi,however
tuturor,to everyone
uneori,sometimes
urmatoarele,the following
următoarele,the following
verset,verse
versete,verses
viitor,future
vorbesti,you speak
vorbești,you speak
vorbire,speaking
acasa,home
acasă,home
accepta,accept
acelasi,same
același,same
acestei,of This
activitate,activity
activitati,activity
adevarata,true
adevărată,true
adevărații,real
altele,Other
analizati,analyze
analizați,Review
aplica,apply
aproape,almost
aprobat,approved
armonie,harmony
ascultă,listen
ascultat,listened to
asemanator,like
asemănător,like
asista,assist
atins,reached
banii,the money
batranilor,elderly
bătrânilor,elderly
botezat,baptized
botezului,baptism
bucuria,joy
bunatate,kindness
cadou,gift
calea,the way
capat,end
capăt,end
carti,book
cărți,book
casatoria,marriage
căsătoria,marriage
cerintele,requirements
cerințele,requirements
citirii,reading
clara,clear
clară,clear
comiți,commit
conducatori,lead
conduce,lead
conștiință,conscience
contribui,contribute
copiilor,children
copil,child
creștinilor,Christian
cunoaste,know
cunoaște,know
cunostinta,knowledge
curand,soon
curând,soon
curata,cleanse
curată,cleanse
curățenia,cleaning
cuvintele,the words
dedicat,dedicated
demonilor,demons
determinat,determined
dorinta,desire
dorința,desire
dovedim,prove
dreptul,right
durere,pain
exemplul,Example
existenta,existence
explica,explain
explică,explain
familii,families
fericirea,happiness
folosești,use
fractiuni,fractions
fracțiuni,fractions
frate,brother
fratilor,brothers
frumoasa,beautiful
frumoasă,beautiful
frumoase,beautiful
ganduri,thoughts
gânduri,thoughts
gresita,wrong
greșită,wrong
grijă,care
guverneze,governor
hotărât,decided
hrana,food
hrană,food
ideea,the idea
identifica,identify
imaginează,imagine
imita,imitate
imoralitate,immorality
imoralitatea,immorality
impiedica,prevent
impiedice,prevent
implinit,fulfilled
împlinit,fulfilled
inaintea,before
înaintea,before
incercare,test
inchina,worship
increderea,trust
încrederea,trust
indruma,lead
indrumare,guidance
îndrumare,guidance
îndrumarea,guidance
infatisarea,appearance
înfățișarea,look
influența,influence
ingriji,care
inlatura,remove
intari,strengthen
întări,strengthen
intelept,wise
înțelept,wise
intelepte,wise
înțelepte,wise
intrebare,question
intrerupta,interrupted
intrunire,meet
întrunire,meet
invia,resurrected
inviati,resurrected
învinge,defeat
iubeasca,love
iubească,love
jertfa,sacrifice
legile,the laws
limba,language
locală,local
locul,place
loiali,loyalty
loialitatea,loyalty
lucrare,work
lupta,fight
majoritatea,the majority
minciuna,lie
minciună,lie
miracolele,miracles
motiv,reason
nastere,birth
naștere,birth
natură,nature
observă,notice
oferi,offer
pacatele,sins
păcatele,sins
pacatul,sin
păcatul,sin
paradis,paradise
parere,opinion
părere,opinion
parintilor,parents
părinților,fathers
participa,participate
pavel,Paul
perioada,period
persecutii,persecution
persecuții,persecution
persecutiilor,persecution
persevera,persevere
personalitatea,personality
plină,full
posibil,possible
predică,preach
predicam,preaching
predicată,preached
pregati,prepare
pregăti,prepare
pretuieste,Cherish
prețuiește,cherish
prețuim,cherish
prietenul,friend
primii,the first
primul,first
priveste,looks at
problema,problem
problemele,the problems
progrese,progress
promisiunile,promises
ramai,remain
rămână,stay
regele,the king
relatiile,dealings
religie,religion
religiile,religions
reprezinta,represents
reprezintă,represents
respectă,respect
reusit,successful
reușit,successful
rolul,role
rugaciunile,the prayers
rugăciunile,prayers
sanatatea,health
sănătatea,health
sangele,blood
sangelui,blood
sapte,seven
șapte,seven
sărbătorile,Holidays
sclavului,slave
scris,written
sectiunea,section
secțiunea,section
siguranta,safety
siguranță,safety
simtit,sense
slujeasca,serve
slujească,serve
sluji,serve
slujitorii,servants
spiritismul,spiritism
stiai,Did you know
știai,Did you know
stiind,knowing
știind,knowing
stiinta,science
straduim,strive
străduim,strive
stransa,close
studia,study
studiere,learning
studiu,study
sufera,suffer
suferă,suffers
suferim,suffer
surorile,sisters
tanar,young
tânăr,young
tarziu,late
târziu,late
traducerea,translation
umana,human
vazut,seen
văzut,seen
versetele,verses
vestii,the news
veștii,news
vorbeasca,speak
vorbeste,speaks
vorbește,speaks
vreodata,ever
vreodată,ever
